Kanji,Furigana,Romaji,Meaning
会う,あう,au,meet
開ける,あける,akeru,open
あげる,あげる,ageru,give
遊ぶ,あそぶ,asobu,play
浴びる,あびる,abiru,bathe / shower
洗う,あらう,arau,wash
ある,ある,aru,be / exist (inanimate)
歩く,あるく,aruku,walk
言う,いう,iu,say / tell
行く,いく,iku,go
いる,いる,iru,be / exist (animate)
入れる,いれる,ireru,put in / let in
歌う,うたう,utau,sing
生まれる,うまれる,umareru,be born
売る,うる,uru,sell
起きる,おきる,okiru,get up / stand up
置く,おく,oku,put / place
送る,おくる,okuru,send / see off
押す,おす,osu,push / press
覚える,おぼえる,oboeru,memorize / remember
泳ぐ,およぐ,oyogu,swim
降りる,おりる,oriru,get off / descend / dismount
終わる,おわる,owaru,end
買う,かう,kau,buy
返す,かえす,kaesu,give back / return
帰る,かえる,kaeru,return home
掛かる,かかる,kakaru,take / begin / hang
書く,かく,kaku,write
掛ける,かける,kakeru, hang / sit / phone / risk
貸す,かす,kasu,lend
冠る,かぶる,kaburu,put on / wear (on head)
借りる,かりる,kariru,borrow / rent / hire
消える,きえる,kieru,go out / vanish / be extinguished
聞く,きく,kiku,hear / listen / ask
切る,きる,kiru,cut
着る,きる,kiru,put on / wear
来る,くる,kuru,come
消す,けす,kesu,extinguish / turn off / erase / kill
答える,こたえる,kotaeru,answer
困る,こまる,komaru,be in trouble
咲く,さく,saku,bloom / blossom
刺す,さす,sasu,point / stab / stick
死ぬ,しぬ,shinu,die
閉まる,しまる,shimaru,be closed / be shut
閉める,しめる,shimeru,close / shut
知る,しる,shiru,know
吸う,すう,suu,inhale / smoke
住む,すむ,sumu,live / reside
座る,すわる,suwaru,sit
出す,だす,dasu,extract / take out
立つ,たつ,tatsu,stand up
頼む,たのむ,tanomu,request / ask favor
食べる,たべる,taberu,eat
使う,つかう,tsukau,use / operate
疲れる,つかれる,tsukareru,become tired
着く,つく,tsuku,arrive
作る,つくる,tsukuru,make / build / create
点ける,つける,tsukeru,turn on / light
勤める,つとめる,tsutomeru,work for / be employed by
出かける,でかける,dekakeru,go out / leave
飛ぶ,とぶ,tobu,jump / fly
止まる,とまる,tomaru,stop
取る,とる,toru,take
鳴く,なく,naku,cry / sing
習う,ならう,narau,learn
並ぶ,ならぶ,narabu,form a line / equal
並べる,ならべる,naraberu,line up / list / order
なる,なる,naru,become
脱ぐ,ぬぐ,nugu,take off clothes
寝る,ねる,neru,go to bed / sleep
登る,のぼる,noboru,climb
飲む,のむ,nomu,drink
乗る,のる,noru,board / ride
入る,はいる,hairu,enter
履く,はく,haku,put on / wear (on feet / legs)
始まる,はじまる,hajimaru,begin / start
払う,はらう,harau,pay
走る,はしる,hashiru,run
働く,はたらく,hataraku,work
話す,はなす,hanasu,talk / speak / tell
張る,はる,haru,stick / attach
晴れる,はれる,hareru,clear up / tidy
引く,ひく,hiku,pull
弾く,ひく,hiku,play (string instrument)
吹く,ふく,fuku,blow air
降る,ふる,furu,fall from sky (rain / snow)
曲がる,まがる,magaru,turn / bend
待つ,まつ,matsu,wait
磨く,みがく,migaku,polish / brush
見せる,みせる,miseru,show
見る,みる,miru,see / look / watch
持つ,もつ,motsu,have / hold / own
休む,やすむ,yasumu,rest / sleep
呼ぶ,よぶ,yobu,call
読む,よむ,yomu,read
分かる,わかる,wakaru,know / understand
忘れる,わすれる,wasureru,forget
渡す,わたす,watasu,hand over
渡る,わたる,wataru,cross
やる,やる,yaru,do / give
する,する,suru,do
